WalletAddress,MintAddressCount,Status,ErrorDetails
"8mjCJyY4sXkzT7zcCC7w8ZVGK1VqMFatFW7ZzDDtvBfa",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"2NyzNApqMzYPjz3HLByvsQA35m5mrByrTWUjywb7WACK",0,"Success (No Mints)",""
"6MgqacSYB6YnMGUwPKCv5bSep8MzHYtdVcvpJRxF4y2m",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"Fb5nBnkyXdYmkgAwo2rEechdr3iEJoFGxChQYXbHiDrM",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"7QvYBUanFo43Vv8v38YckEZpJeNSJbc71E71vMQRzvEn",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"HDy3RjVvyaVLA74quNDfPYH3MpEqcgu4GBbypZo4D9YD",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"25u3ECoAsdM8hdFudcuehefdj5tb8tmkrNwLbqLW2zex",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"8qMqoe3k77u3zXHVBWCUbhTvgZnxLaCqw3DSyg6fjyVL",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"9QBuLWnvyzMNdJKbgkFiKEqzvnvLN3spM5PpyRydsAgy",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"9SbnNvCSfs3GyptBVWvuFdQNTWRc1pVabHRV6kgHFwae",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"2dq5czVgZxU6Lh58CyCiEco6QRotP172gTBigE6HxbFX",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"J9qmSbPbLPW6PgbArcFa3an8ADRUvbdPTWKTfNZWr98e",0,"Success (No Mints)",""
"6qEgfv1LnKWFjFGX88Gkqay54C8o6sUArVKDNCLPotUE",0,"Success (No Mints)",""
"AAt8TE6o3rdPVCXnHeBP3jauqRqiSrwL6oCZL65mRrF9",0,"Success (No Mints)",""
"EBoitqGvSXg7PCmgLZ67aaEzbw51dQomPU5JEtpb7CUq",0,"Success (No Mints)",""
"CBdx2mRvV5e7zzxcVUPc1XK2Y53ppKz189ZwqDsjYK3x",0,"Success (No Mints)",""
"4qrxCCMH3KAVpTDVGGLhswsqcbhVqMzGifpF7AwtHmak",0,"Success (No Mints)",""
"BQ4rZ8Jv6oJW6WgkqiNMKxWTFhV8VDjA6pGcPH8fkZ6d",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"8SNUgd2nx8tC2M1DxeHSs66hK9khUA55oMXWPWHEXbdh",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"4U7yhiYMw3gG24uLMESGAQ3MztUm7VMqTMyaEs5cB9Lm",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"HWVJ78yJ1RbCZxD4Wie4d3fEmPBYy7Sk7Xu3mPYPqS4c",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"Cdcz15E3LmTD7giDf8j3EapzoNooUvhS7CVcnoAZboKC",0,"ScrapeError","Failed to launch the browser process! undefined"
"ARCo3k9wWBjRjEYT2jnQGa8UncVXWofpnB2aoDMVVgvK",0,"Success (No Mints)",""
"7raEDdMkBnpn9ysy3vZiisyDeFAqwbaZ8YYQ1dujigG1",0,"Success (No Mints)",""
"9tXAL6U2cgT41Q4uYgak5koerKbW7jSoMK7CnFiTeZd6",0,"Success (No Mints)",""
"9TYhaaP71ti6GD6mvrZjvQYsxcFmj65gjtsb58XBNFRz",0,"Success (No Mints)",""
"6zLJ845mSSJsCmn8DkRLuNxnatnyh8qd9QsMC5Bsjsd6",0,"Success (No Mints)",""
"9S9akZDCCQ7H3om71Wc9odqnnHvxTLXCvewDdDKWNbyk",0,"Success (No Mints)",""
"AoMp4WxZWP5pWAsSqT555XMaUPyTXPamkQ2VYiVWUKQQ",0,"Success (No Mints)",""
"Bn1naibF3urzGsccittCtuhRtF7vBYyjpRE7TxQjS2sx",0,"Success (No Mints)",""
"EeFEZGg9AMWit6KBgoWTfjr6YwTsCqDAePuVPe9ftMTp",0,"Success (No Mints)",""
"3NKxbTtEoZWezWzXXBk3awSPfrfpsHwJ3B54EYCirNwp",2,"Success",""
"6kK4zvJ4rNmCvPvPk2hvHccZRC5pAD7nXZHwJzLLHiSg",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"HbJN8EGCHs8qMU2mpDvdpGLm4foAf64V9GsXA3P6FFqy",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"GNZDhZmsZJzMqVF3JueNQz2qDz8x2Xr3fWCLRSNcUqVZ",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"34HRk7KZsQWCLbYaDEbjs6HhL6NvMUK2vhxKeUSL7w3Q",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"BvLkdka2MG3ZVyTB5xYXnAZQDv28PMyS3iLYgsmG5TGs",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"3W9SQJeBvbRSzTtJjpzi8b2bzXpjNMYaBiBR1PDu1eLK",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"JCmFQwBVJZHsS9E2nXsrqLqsh2TcqAdwwbKcSkEMnzXy",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"5EK6cHDdQccYTpsnkoBxZgaMNYEMdagdrGf3zh4BZ4aL",0,"Success (No Mints)",""
"8Y2jpukhaqb5o9FLDTE9hEDqi8gtfTe6de4L2fXJK4Vf",0,"Success (No Mints)",""
"8CnQmc2Tq3dVHNad3cjdLJWEb17mf8xY7ijZScjNeabA",0,"Success (No Mints)",""
"3zp2seA9jRtjahVjUF3s3x1c1EU6sVt67LR9nbDoUNtF",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"G3H9CqZBYGe3mpJBucvA7C3zkFbMAP87v2rPKmT2msyT",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"5yjuXxLWZmRe2X1jP7uikU86NeAL4TXsWs2xQk5FF8wH",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"F2aBVE8RW1GBM78eLn4g6vW9GKDNhnb4jA64xqc7icUD",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"AzA7Lffu4kSHi3J1Ldh7FDqszfHmMAMfygFwqR6k2x3f",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"H3EJLyTw8xPGRLn9RDwGs6uWSB17PJZJh4hDucawBfF3",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"FvNSp5Q1xnHruLwzNNi6QPQ6ewBUGnktq74H14vfGCLV",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"5CW9DVD6gGR9ZkynwFhJQgohcfWGvprwCtthgVB7Jtza",0,"Success (No Mints)",""
"6t5jjgHvdoJXrSezxLfPBJ9dGEWHAJYmi5krKZrgii4i",0,"Success (No Mints)",""
"HngLvphGqmHEFuPE5U7vRuyrAJWDp5XcWcM73MkETZrS",0,"Success (No Mints)",""
"A31Wi2GLm8ko46fzdwoLAjVcvNbLN4ZyDsByUvbhwj32",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"E7i2niFPLPArMgX5VBLK2juGZs2zSU1agPkCyXC3uYyZ",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"RAYpQbFNq9i3mu6cKpTKKRwwHFDeK5AuZz8xvxUrCgw",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
